Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,SL,Exit Price,P&L
cryptostasher,https://x.com/cryptostasher/status/1843692598256644451,08/10/2024,9-10-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Cosmic Network (COSMIC)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0685
TP2: $0.075
🛑 Stop Loss: $0.062

💡 Trade Tip:
Accumulation phase noted despite -3.52% dip post-relaunch. Target reclaiming historical price ($0.0685) and breakout to $0.075. Stop loss below $0.062 protects against downside. Watch for volume rebound and announcements to confirm bullish momentum.",Cosmic Network (COSMIC),cosmic-network,0.0661,0.0661,0.0742,0.0685,0.0148,0.0685,0.062,,
cryptostasher,https://x.com/cryptostasher/status/1845784939142304060,14/10/2024,15-10-2024,"🚀 Bullish Alert 🚀
🏛️ Token: KLAUS (KLAUS)
📈 Signal: Buy
🎯 Targets:
TP1: $0.020
TP2: $0.025
🛑 Stop Loss: $0.015

💡 Trade Tip:
237.64% surge suggests strong momentum, but high volume (703% spike) indicates FOMO. Target $0.020 (psychological level) and $0.025 (extension). Tight stop loss secures gains. Monitor team announcements for sustained hype.",KLAUS (KLAUS),klaus,0.0052,0.0176,0.0492,0.0404,0.0011,0.02,0.015,,
cryptostasher,https://x.com/cryptostasher/status/1858078542967255319,17/11/2024,18-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Mr Mayonnaise the Cat (MAYO)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0050
TP2: $0.0060
🛑 Stop Loss: $0.0035

💡 Trade Tip:
Viral narrative (cat rescue) and 10.65% price surge suggest meme potential. Target $0.0050 (psychological level) and $0.0060 (momentum extension). Stop loss below $0.0035 guards against volatility. Monitor social sentiment for virality and volume trends.",Mr Mayonnaise the Cat (MAYO),mr-mayonnaise-the-cat,0.0038,0.0042,0.0035,0.0012,0.0001,0.005,0.0035,,
cryptostasher,https://x.com/AndrewCryptoHQ/status/1859602936302633091,21/11/2024,22-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: NikolAI (NIKO)
📈 Signal: Buy
🎯 Targets:
TP1: $0.12
TP2: $0.14
🛑 Stop Loss: $0.095
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
34.42% breakout with rising volume and market cap signals strong momentum. Target $0.12 (near-term resistance) and $0.14 (extension). Stop loss below $0.095 protects gains. Watch TON ecosystem trends and volume sustainability for continuation.",NikolAI (NIKO),nikolai,0.1146,0.1146,0.0952,0.022,0.0009,0.12,0.095,,
cryptostasher,https://x.com/cryptostasher/status/1866958866597957974,12/12/2024,13-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: zKML (ZKML)
📈 Signal: Buy
🎯 Targets:
TP1: $0.664
TP2: $0.70
🛑 Stop Loss: $0.60
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Resilient price action (-3.74% dip) and privacy narrative fuel bullish bias. Target breakout above historical $0.664 (ATH) and $0.70. Stop loss below $0.60 mitigates risk. Confirm momentum with volume rebound and breakout confirmation.",zKML (ZKML),zkml,0.6639,0.6639,0.6391,0.4275,0.1063,0.664,0.6,,
cryptostasher,https://x.com/cryptostasher/status/1870761099651580281,22/12/2024,23-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: WELF (WELF)
📈 Signal: Buy
🎯 Targets:
TP1: $5.80
TP2: $6.50
🛑 Stop Loss: $4.20
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
41.60% surge post-launch with 75% volume spike signals strong momentum. Target $5.80 (operation target) and $6.50 (extension). Stop loss at $4.20 locks profits. Monitor for consolidation or continuation via volume trends post-FOMO phase.",WELF (WELF),welf,3.4376,4.8675,4.0423,3.5359,0.7642,5.8,4.2,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1832828842232463553,08/09/2024,9-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Sun Token (SUN)
📈 Signal: Buy
🎯 Targets:
TP1: $0.030
TP2: $0.035
🛑 Stop Loss: $0.024
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Buyback/burn mechanism and airdrop announcement bolster bullish sentiment. Target $0.030 (psychological resistance) and $0.035 (momentum extension). Stop loss below $0.024 protects against support failure. Monitor volume trends to confirm bullish reversal amid market uncertainty.",Sun Token (SUN),sun-token,0.0279,0.0279,0.0279,0.025,0.0161,0.03,0.024,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1833114772239241470,09/09/2024,10-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Sundog (SUNDOG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.30
TP2: $0.35
🛑 Stop Loss: $0.25
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
19.46% surge with 75% volume spike and $288M MC signals strong momentum. Target $0.30 (psychological level) and $0.35 (next resistance). Stop loss below $0.25 protects gains. Watch for FOMO-driven rallies and partnership/Mextmate AI updates. Manage risk amid volatility.",Sundog (SUNDOG),sundog,0.2943,0.2943,0.3514,0.3514,0.0525,0.3,0.25,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1833907982796497108,11/09/2024,12-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Mog Coin (MOG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.00000102
TP2: $0.00000120
🛑 Stop Loss: $0.00000090

💡 Trade Tip:
Ethereum meme narrative and past 4506% surge fuel bullish potential. Target reclaiming $0.00000102 (historical level) and breakout to $0.00000120. Stop loss below $0.00000090 limits downside. Watch for volume recovery and ETH meme momentum to confirm breakout. Manage risk amid volatile swings.",Mog Coin (MOG),mog-coin,0.000001,0.000001,0.00000093,0.0000227,0.00000044,0.0000012,0.0000009,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1848755969745985904,22/10/2024,23-10-2024,"🚀 Bullish Alert 🚀
🏛️ Token: ANyONe Protocol (ANYONE)
📈 Signal: Buy
🎯 Targets:
TP1: $0.91
TP2: $1.00
🛑 Stop Loss: $0.80
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
DePIN narrative and sub-$1 price attract accumulation despite -3.87% dip. Target $0.91 (previous resistance) and $1.00 (psychological level). Stop loss below $0.80 limits downside. Watch for volume recovery and DePIN sector momentum to confirm reversal.",ANyONe Protocol (ANYONE),airtor-protocol,0.8692,0.8692,0.8692,1.2036,0.3405,0.91,0.8,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1849126555181605267,23/10/2024,24-10-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Celestia (TIA)
📈 Signal: Buy
🎯 Targets:
TP1: $6.50
TP2: $7.00
🛑 Stop Loss: $5.50
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
3.46% price rise with 71% volume surge signals bullish momentum. Target $6.50 (next resistance) and $7.00 (psychological level). Stop loss below $5.50 protects gains. Leverage dip-buying sentiment but watch for broader market correction risks.",Celestia (TIA),celestia,5.9617,5.9617,6.1048,5.7828,3.6142,6.5,5.5,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1850579729914397142,27/10/2024,28-10-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Bittensor (TAO)
📈 Signal: Buy
🎯 Targets:
TP1: $520
TP2: $550
🛑 Stop Loss: $490
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Minor dip (-0.36%) with strong holder accumulation signals bullish resilience. Target $520 (recent resistance) and $550 (breakout). Stop loss below $490 safeguards against reversal. Low volume suggests consolidation; watch for volume spikes to confirm upward momentum.",Bittensor (TAO),bittensor,509.1867,509.1867,520.7234,608.908,254.5959,520,490,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1854558771353366535,07/11/2024,8-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: LinqAI (LNQ)
📈 Signal: Buy
🎯 Targets:
TP1: $0.15
TP2: $0.16
🛑 Stop Loss: $0.125
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
AI narrative and 2.91% price rise with market cap growth signal bullish bias. Target $0.15 (psychological level) and $0.16 (breakout). Stop loss below $0.125 protects against reversal. Monitor AI sector momentum and volume recovery to confirm upside continuation.",LinqAI (LNQ),linqai,0.1395,0.1395,0.1674,0.2367,0.0341,0.15,0.125,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1855284412969271421,09/11/2024,10-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: AstraAI (ASTRA)
📈 Signal: Buy
🎯 Targets:
TP1: $1.60
TP2: $1.75
🛑 Stop Loss: $1.35
⏳ Timeline: 1-3 days

💡 Trade Tip:
Upcoming e-banking app launch and anniversary hype suggest bullish volatility. Target $1.60 (psychological resistance) and $1.75 (momentum extension). Stop loss below $1.35 protects against ""sell the news"" risk. Confirm breakout with volume surge post-announcement.",AstraAI (ASTRA),astraai,1.4651,1.4651,1.4472,2.3151,0.9395,1.6,1.35,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1866523613425439180,10/12/2024,11-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Clearpool (CPOOL)
📈 Signal: Buy
🎯 Targets:
TP1: $0.50
TP2: $0.55
🛑 Stop Loss: $0.42
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
12.63% surge with 108% volume spike signals strong momentum. Target $0.50 (psychological resistance) and $0.55 (breakout extension). Stop loss below $0.42 protects gains. Confirm trend with sustained community hype and volume levels. Manage risk amid volatility.",Clearpool (CPOOL),clearpool,0.4741,0.4741,0.5398,0.5228,0.1197,0.5,0.42,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1867247880362230235,12/12/2024,13-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Zcash (ZEC)
📈 Signal: Buy
🎯 Targets:
TP1: $63.00
TP2: $70.00
🛑 Stop Loss: $55.00
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Dip (-6.93%) with rising volume suggests accumulation. Target $63 (reclaiming support) and $70 (next resistance). Stop loss below $55 limits downside. Monitor for reversal confirmation and privacy coin momentum. $100 remains a speculative long-term target.",Zcash (ZEC),zcash,59.4506,59.4506,60.0201,73.7715,31.8007,63,55,,
fatpigsignals,https://x.com/fatpigsignals/status/1848573401734033420,22/10/2024,23-10-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Jupiter (JUP)
📈 Signal: Buy
🎯 Targets:
TP1: $1.05
TP2: $1.10
🛑 Stop Loss: $0.90
⏳ Timeline: 3-5 days

💡 Trade Tip:
Recent 17.26% profit and exchange listings signal momentum. Target $1.05 (psychological level) and $1.10 (next resistance). Stop loss below $0.90 guards against pullbacks. Monitor volume for trend confirmation amid slight volume decline (-7.07%).",Jupiter (JUP),jupiter-exchange-solana,0.9662,0.9662,1.0706,1.2514,0.5267,1.05,0.9,,
fatpigsignals,https://x.com/fatpigsignals/status/1851849718168457608,31/10/2024,1-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Ethena (ENA)
📈 Signal: Buy
🎯 Targets:
TP1: $0.38
TP2: $0.40
🛑 Stop Loss: $0.34
⏳ Timeline: 3-5 days

💡 Trade Tip:
Exchange listings and recent TP achievement signal cautious optimism. Target $0.38 (next resistance) and $0.40 (psychological level). Stop loss below $0.34 mitigates downside risk. Monitor volume trends for confirmation amid current -11.87% volume dip.",Ethena (ENA),ethena,0.3617,0.3617,0.4828,0.7868,0.3621,0.38,0.34,,
fatpigsignals,https://x.com/fatpigsignals/status/1861240472271761751,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Uniswap (UNI)
📈 Signal: Buy
🎯 Targets:
TP1: $11.50
TP2: $12.00
🛑 Stop Loss: $10.00
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Recent 40.98% profit suggests strong uptrend despite -2.55% dip. Target $11.50 (reclaiming resistance) and $12.00 (breakout). Stop loss below $10.00 limits downside. Monitor volume recovery to confirm trend continuation post-profit-taking phase.",Uniswap (UNI),uniswap,11.1306,11.1306,13.9428,18.7119,6.1207,11.5,10,,
fatpigsignals,https://x.com/fatpigsignals/status/1861240642984194314,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Chainlink (LINK)
📈 Signal: Buy
🎯 Targets:
TP1: $18.00
TP2: $18.50
🛑 Stop Loss: $16.50
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
27.09% profit milestone and exchange listings signal strength despite -0.60% dip. Target $18.00 (psychological resistance) and $18.50 (breakout). Stop loss below $16.50 guards against pullback. Confirm trend with volume recovery to offset -31% volume decline.",Chainlink (LINK),chainlink,17.4054,17.4054,24.9905,29.432,13.8695,18,16.5,,
fatpigsignals,https://x.com/fatpigsignals/status/1861240765965320639,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Pepe (PEPE)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0000190
TP2: $0.0000200
🛑 Stop Loss: $0.0000170

💡 Trade Tip:
Recent 14.07% profit suggests momentum despite -4.28% dip. Target reclaiming $0.0000190 (historical resistance) and $0.0000200 (breakout). Stop loss below $0.0000170 limits downside. Monitor meme coin volatility and volume recovery for trend confirmation.",Pepe (PEPE),pepe,0.000019,0.000019,0.00002235,0.00002643,0.000007072,0.000021,0.000017,,
fatpigsignals,https://x.com/fatpigsignals/status/1861240836974895349,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Optimism (OP)
📈 Signal: Buy
🎯 Targets:
TP1: $2.30
TP2: $2.50
🛑 Stop Loss: $2.00

💡 Trade Tip:
Recent TP1 hit (4.58%) suggests momentum despite -4.62% dip. Target $2.30 (reclaiming resistance) and $2.50 (breakout). Stop loss below $2.00 limits downside. Confirm trend reversal with volume recovery to offset -29% volume decline.",Optimism (OP),optimism,2.3068,2.2002,2.5618,2.6791,0.8699,2.5,2,,
fatpigsignals,https://x.com/fatpigsignals/status/1861240709384204352,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Solana (SOL)
📈 Signal: Buy
🎯 Targets:
TP1: $240
TP2: $250
🛑 Stop Loss: $220
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
31.39% profit milestone and exchange listings signal strength despite -1.60% dip. Target $240 (reclaiming resistance) and $250 (psychological level). Stop loss below $220 guards against pullbacks. Rising volume (+12.51%) suggests accumulation; confirm trend continuation.

",Solana (SOL),solana,234.5375,230.7791,243.7009,238.8933,132.8234,240,220,,
fatpigsignals,https://x.com/fatpigsignals/status/1861241793821524463,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Fantom (FTM)
📈 Signal: Buy
🎯 Targets:
TP1: $1.20
TP2: $1.30
🛑 Stop Loss: $0.95
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
64.38% profit milestone with 77% volume surge signals strong momentum. Target $1.20 (next resistance) and $1.30 (breakout extension). Stop loss below $0.95 protects gains. Confirm trend sustainability via volume persistence and ecosystem updates. Manage risk amid volatile swings.",Fantom (FTM),fantom,0.9777,1.0801,1.2482,1.4435,0.5199,1.2,0.95,,
fatpigsignals,https://x.com/fatpigsignals/status/1861241414765453760,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: TRON (TRX)
📈 Signal: Buy
🎯 Targets:
TP1: $0.196
TP2: $0.20
🛑 Stop Loss: $0.185

💡 Trade Tip:
Recent TP2 hit (6.38%) signals momentum despite -1.01% dip. Target $0.196 (reclaim historical level) and $0.20 (psychological resistance). Stop loss below $0.185 limits downside. Rising volume (+7.20%) hints at accumulation; confirm trend reversal for sustained upside.",TRON (TRX),tron,0.1959,0.1959,0.22,0.4156,0.22,0.2,0.185,,
